iter	Passed	Remaining
0	140	140771
1	147	73382
2	150	49930
3	151	37808
4	153	30583
5	155	25717
6	157	22288
7	158	19597
8	159	17567
9	161	15957
10	163	14707
11	165	13597
12	166	12656
13	168	11868
14	170	11180
15	172	10579
16	174	10098
17	175	9594
18	177	9155
19	180	8840
20	181	8470
21	184	8203
22	185	7888
23	186	7590
24	187	7325
25	188	7069
26	190	6847
27	191	6642
28	192	6453
29	193	6265
30	195	6096
31	196	5943
32	197	5795
33	198	5653
34	199	5513
35	201	5382
36	202	5268
37	203	5151
38	204	5040
39	205	4940
40	207	4844
41	209	4772
42	210	4689
43	211	4602
44	213	4522
45	214	4448
46	215	4373
47	216	4300
48	217	4227
49	219	4162
50	221	4115
51	222	4052
52	223	3992
53	224	3936
54	225	3879
55	227	3828
56	228	3777
57	229	3724
58	230	3673
59	231	3629
60	233	3587
61	234	3547
62	235	3500
63	236	3457
64	237	3415
65	238	3374
66	239	3340
67	241	3304
68	242	3268
69	243	3235
70	245	3212
71	246	3178
72	247	3142
73	248	3109
74	249	3078
75	251	3055
76	252	3027
77	253	2999
78	255	2978
79	257	2959
80	258	2936
81	259	2910
82	260	2877
83	261	2852
84	262	2830
85	264	2806
86	265	2783
87	266	2761
88	267	2743
89	269	2727
90	270	2706
91	271	2684
92	273	2668
93	275	2650
94	276	2634
95	277	2613
96	278	2596
97	280	2579
98	281	2562
99	282	2544
100	284	2528
101	285	2511
102	286	2496
103	287	2479
104	289	2464
105	290	2447
106	291	2432
107	292	2419
108	294	2404
109	295	2389
110	296	2373
111	297	2359
112	299	2347
113	300	2333
114	301	2320
115	302	2305
116	303	2290
117	305	2282
118	308	2280
119	309	2267
120	310	2257
121	311	2243
122	312	2231
123	314	2218
124	315	2206
125	316	2194
126	317	2182
127	319	2173
128	320	2162
129	321	2150
130	322	2141
131	324	2131
132	325	2121
133	326	2110
134	327	2100
135	329	2094
136	331	2085
137	332	2076
138	333	2065
139	334	2056
140	335	2046
141	336	2035
142	338	2025
143	339	2016
144	340	2006
145	341	1999
146	343	1993
147	344	1983
148	345	1974
149	346	1965
150	348	1957
151	349	1950
152	350	1940
153	351	1932
154	353	1924
155	354	1917
156	355	1909
157	356	1901
158	357	1893
159	359	1886
160	360	1876
161	362	1872
162	363	1864
163	364	1857
164	365	1850
165	366	1843
166	368	1838
167	369	1830
168	370	1823
169	372	1817
170	373	1809
171	374	1801
172	375	1794
173	376	1786
174	377	1780
175	379	1774
176	381	1771
177	382	1764
178	383	1758
179	385	1755
180	386	1749
181	387	1742
182	388	1735
183	390	1730
184	391	1724
185	392	1717
186	393	1711
187	394	1704
188	395	1697
189	396	1690
190	397	1684
191	399	1679
192	400	1673
193	401	1666
194	403	1664
195	404	1658
196	405	1651
197	406	1645
198	407	1639
199	408	1634
200	409	1628
201	410	1622
202	411	1616
203	412	1611
204	414	1605
205	415	1601
206	416	1595
207	417	1589
208	418	1583
209	419	1578
210	420	1574
211	422	1570
212	424	1567
213	425	1562
214	426	1557
215	428	1554
216	429	1548
217	430	1544
218	431	1539
219	432	1534
220	434	1531
221	435	1526
222	436	1521
223	437	1516
224	438	1511
225	440	1507
226	441	1502
227	442	1497
228	443	1492
229	444	1487
230	445	1483
231	446	1479
232	448	1475
233	449	1470
234	450	1466
235	451	1461
236	452	1457
237	454	1453
238	455	1448
239	456	1444
240	457	1441
241	459	1438
242	460	1435
243	462	1431
244	463	1427
245	464	1423
246	465	1420
247	466	1416
248	467	1411
249	469	1407
250	470	1403
251	471	1400
252	472	1395
253	474	1392
254	475	1388
255	476	1385
256	478	1382
257	480	1381
258	481	1378
259	484	1378
260	485	1375
261	486	1371
262	488	1368
263	490	1367
264	491	1364
265	492	1360
266	493	1355
267	495	1353
268	497	1350
269	498	1347
270	499	1345
271	501	1342
272	502	1339
273	504	1335
274	505	1332
275	507	1330
276	508	1327
277	509	1323
278	511	1322
279	513	1319
280	514	1317
281	515	1313
282	516	1309
283	517	1305
284	519	1302
285	520	1299
286	521	1296
287	523	1293
288	524	1290
289	526	1287
290	527	1284
291	528	1281
292	529	1278
293	530	1274
294	532	1272
295	533	1269
296	534	1266
297	536	1264
298	538	1263
299	540	1261
300	541	1257
301	542	1254
302	544	1251
303	545	1249
304	546	1245
305	547	1242
306	548	1238
307	550	1236
308	551	1233
309	552	1230
310	553	1226
311	554	1223
312	555	1220
313	557	1217
314	558	1214
315	559	1211
316	560	1208
317	562	1205
318	563	1203
319	564	1200
320	565	1196
321	566	1193
322	567	1190
323	569	1187
324	570	1185
325	571	1181
326	572	1178
327	573	1175
328	575	1173
329	576	1170
330	577	1167
331	578	1163
332	579	1161
333	580	1158
334	582	1156
335	583	1153
336	584	1150
337	585	1147
338	587	1144
339	588	1142
340	589	1139
341	590	1135
342	591	1133
343	593	1130
344	594	1128
345	595	1125
346	596	1122
347	597	1119
348	598	1116
349	599	1114
350	601	1111
351	602	1108
352	603	1105
353	604	1102
354	605	1099
355	606	1097
356	607	1094
357	608	1092
358	610	1089
359	611	1086
360	612	1084
361	614	1082
362	615	1079
363	616	1076
364	617	1074
365	618	1072
366	620	1069
367	621	1066
368	622	1064
369	623	1062
370	625	1060
371	626	1057
372	627	1054
373	628	1051
374	629	1049
375	630	1047
376	632	1044
377	633	1041
378	634	1039
379	635	1036
380	636	1034
381	637	1032
382	638	1029
383	640	1026
384	640	1023
385	642	1021
386	643	1019
387	644	1016
388	645	1014
389	646	1011
390	647	1009
391	649	1006
392	650	1004
393	651	1001
394	652	999
395	653	996
396	654	993
397	655	991
398	656	989
399	657	986
400	658	984
401	660	982
402	661	980
403	662	977
404	663	975
405	665	973
406	666	970
407	667	969
408	669	966
409	670	964
410	671	962
411	672	960
412	674	958
413	675	955
414	676	953
415	677	951
416	678	948
417	680	946
418	681	944
419	682	941
420	683	939
421	684	937
422	685	935
423	687	933
424	688	931
425	689	928
426	691	927
427	692	925
428	693	923
429	695	921
430	696	919
431	697	917
432	699	916
433	700	914
434	701	911
435	704	910
436	705	909
437	707	907
438	708	905
439	709	903
440	710	901
441	712	899
442	713	896
443	714	894
444	716	893
445	717	891
446	719	889
447	720	887
448	721	885
449	723	883
450	724	881
451	725	879
452	726	877
453	728	875
454	729	874
455	731	872
456	732	870
457	733	868
458	735	866
459	736	864
460	738	863
461	739	860
462	740	858
463	742	857
464	743	855
465	744	853
466	747	853
467	748	851
468	750	849
469	751	847
470	752	845
471	754	844
472	756	842
473	757	840
474	759	839
475	760	837
476	762	835
477	763	834
478	765	832
479	766	830
480	768	829
481	769	827
482	770	825
483	772	823
484	774	821
485	775	819
486	776	817
487	777	815
488	779	814
489	781	812
490	782	811
491	783	809
492	785	807
493	786	805
494	788	804
495	789	802
496	791	800
497	792	799
498	794	797
499	795	795
500	796	793
501	798	791
502	799	790
503	800	788
504	802	786
505	804	785
